,smiles
BRD-K88172511,Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O
BRD-K51544265,COc1cc2nccc(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc4ccc(F)cc4)cc3)c2cc1OC
BRD-K23566484,CC1(C)NC(=O)N(C1=O)c1ccc(c(c1)C(F)(F)F)[N+]([O-])=O
BRD-A35588707,COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@H](O[C@H]3[C@H](O)[C@H]2O)c2cccs2)c2cc3OCOc3cc12
BRD-A91733352,CCN(CC)CCNC(C(=O)OCCC(C)C)c1ccccc1
BRD-A14395271,CN1CCCCC1CCN1c2ccccc2Sc2ccc(cc12)S(C)=O
BRD-K76011241,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
BRD-A43671941,CC(C)NCC(O)COc1ccccc1OCC=C
BRD-K73589491,CN\C(NCCSCc1csc(CN(C)C)n1)=C/[N+]([O-])=O
BRD-A25608658,CC[C@H]([C@@H]1O[C@@H]([C@@H](C)[C@H](O)[C@H](C)C(=O)[C@H](CC)[C@H]2O[C@@]3(O[C@@]4(CC[C@](C)(O4)C4CC[C@](O)(CC)[C@H](C)O4)[C@H](O)C=C3)[C@H](C)C[C@@H]2C)[C@@H](C)C[C@H]1C)C(O)=O
BRD-K89714990,COc1ccc(cc1)-n1nc(CCC(=O)N(C)O)cc1-c1ccc(Cl)cc1
BRD-K32107296,Cn1nnc2c(ncn2c1=O)C(N)=O
BRD-A29485665,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(c1)C(F)(F)F
BRD-K99792991,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
BRD-K92049597,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
BRD-K34157611,CN\C(NCCSCc1nc[nH]c1C)=N/C#N
BRD-K01109406,[O-][N+](=O)c1cc(ccc1C(=O)C1C(=O)CCCC1=O)C(F)(F)F
BRD-K69116396,Fc1ccc(cc1)-n1cc(C2CCN(CCN3CCNC3=O)CC2)c2cc(Cl)ccc12
BRD-K29458283,OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl
BRD-K71106091,Nc1nc(F)nc2n(cnc12)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O
BRD-A90547603,NC(=N)NCCCCC1NC(=O)CCSSCC(NC(=O)C2CCCN2C(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(CC(O)=O)NC(=O)CNC1=O)C(N)=O
BRD-K72093121,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
BRD-K30577245,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C([C@@H](O)C1=O)C2(C)C
BRD-K35687421,Oc1cc(=O)[nH]cc1Cl
BRD-K34022604,Nc1nc(Cl)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F
BRD-K04111260,CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC
BRD-K02113016,Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1
BRD-K37798499,COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12
BRD-K15916496,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
BRD-K99964838,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl
BRD-A03623303,COCCc1ccc(OCC(O)CNC(C)C)cc1
BRD-K06858286,CO[C@@H]1C[C@H]2OC[C@@]2(OC(C)=O)[C@H]2[C@@H](OC(=O)c3ccccc3)[C@@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C(C)=C([C@@H](OC)C(=O)[C@]12C)C3(C)C
BRD-K67977190,CCCCc1ncc(\C=C(/Cc2cccs2)C(O)=O)n1Cc1ccc(cc1)C(O)=O
BRD-K51747290,NC(=O)NO
BRD-K47978074,NC(CO)(CO)CO
BRD-K87827419,N[C@@H](Cc1ccc(cc1)N(CCCl)CCCl)C(O)=O
BRD-K25837718,CO[C@H]1[C@@H](CC(=O)O[C@H](C)C\C=C\C=C\[C@H](O)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]1O[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC(=O)CC(C)C)[C@@H](O)[C@H](C)O2)[C@@H]([C@H]1O)N(C)C)OC(C)=O
BRD-K24556098,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
BRD-K91601245,S=c1[nH]cnc2nc[nH]c12
BRD-K84466663,COc1nc(N)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
BRD-A91452556,C[C@]12CCC3C(CCc4cc(O)ccc34)C1CC[C@@H]2OC(=O)CCC1CCCC1
BRD-K04196797,NC(=O)N1c2ccccc2CC(=O)c2ccccc12
BRD-A70649075,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
BRD-K78815826,CCCCC1(COC(=O)CCC(O)=O)C(=O)N(N(C1=O)c1ccccc1)c1ccccc1
BRD-K21565985,Cc1cccc(C)c1NC1=NCCCS1
BRD-K70246307,Cc1cc2nc3c(nc(=O)[nH]c3=O)n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
BRD-K36711084,Nc1nc(N)nc(NC2CC2)n1
BRD-A70083328,CC(O)Cn1c(C)ncc1[N+]([O-])=O
BRD-K61192372,CCCCCOC(=O)Nc1nc(=O)n(cc1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O
BRD-K28307902,CC(C)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O
BRD-K06222852,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(cc2)N2CCN(CC2)c2ccc(OC[C@@H]3CO[C@](Cn4cncn4)(C3)c3ccc(F)cc3F)cc2)c1=O
BRD-K68095457,CCCCCCCCCCCCCCCC(=O)NCCO
BRD-K69280563,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C2)(C(=O)OC)c1cc2c(cc1OC)N(C)[C@@H]1[C@]22CCN3CC=C[C@](CC)([C@@H]23)[C@@H](OC(C)=O)[C@]1(O)C(=O)OC
BRD-K62008436,CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)c3ccccc3)[C@@H]3[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c1ccccc1)c1ccccc1
BRD-K88429204,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
BRD-K70301465,Nc1ncnc2n(nc(-c3ccc(Oc4ccccc4)cc3)c12)[C@@H]1CCCN(C1)C(=O)C=C
BRD-K13112821,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4
BRD-K26657438,CC(C)Cn1cnc2c(N)nc3ccccc3c12
BRD-K10799896,CCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CCl
BRD-A25234499,CCC1(CCC(=O)NC1=O)c1ccc(N)cc1
BRD-K29950728,CCN(CC)CCOc1ccc(cc1)C(=C(/Cl)c1ccccc1)\c1ccccc1
BRD-A31095847,CN(C)C1CCCN(C(=O)c2ccc(NC(=O)c3ccccc3C)cc2)c2ccccc12
BRD-K99475619,CNCCn1c2c(cnc3cc4OCOc4cc23)c2cc(OC)c(OC)cc2c1=O
BRD-K83508485,CN(Cc1ccccc1)C(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)c1cn(C)c2ccccc12
BRD-K39484304,CC(C)[C@]12O[C@H]1[C@@H]1O[C@]11[C@]3(O[C@H]3C[C@H]3C4=C(CC[C@]13C)C(=O)OC4)[C@@H]2O
BRD-K68532323,CC(C)[C@@H](N(CCCN)C(=O)c1ccc(C)cc1)c1oc2cc(Cl)ccc2c(=O)c1Cc1ccccc1
BRD-K04264130,NC(=O)c1nc(F)cnc1O
BRD-K68870568,CN1CCN(Cc2ccc(cc2C(F)(F)F)C(=O)Nc2cnc(C)c(Nc3nccc(n3)-c3cccnc3)c2)CC1
BRD-K71281111,CC1(C)Cc2c(c(nn2-c2ccc(C(N)=O)c(N[C@H]3CC[C@H](O)CC3)c2)C(F)(F)F)C(=O)C1
BRD-K71480163,CC(C)NC[C@@H](C(=O)N1CCN(CC1)c1ncnc2[C@@H](O)C[C@@H](C)c12)c1ccc(Cl)cc1
BRD-K08542803,CC(C)=CCC[C@@]1(C)Oc2c(CC=C(C)C)c3O[C@@]45[C@H]6C[C@@H](C=C4C(=O)c3c(O)c2C=C1)C(=O)[C@]5(C\C=C(\C)C(O)=O)OC6(C)C
BRD-K28192623,CN([C@H]1CC[C@@]2(CCCO2)C[C@@H]1N1CCCC1)C(=O)Cc1ccc(Cl)c(Cl)c1
BRD-K20285085,COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC
BRD-K76239644,COc1cccc(Nc2ncnn3ccc(CN4CC[C@@H](N)[C@H](O)C4)c23)c1
BRD-K03449891,COc1cc2c(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc4ccc(F)cc4)cc3F)ccnc2cc1OCCCN1CCOCC1
BRD-K99604664,Cn1c(ccc1-c1ccc2NC(=S)OC(C)(C)c2c1)C#N
BRD-K97101532,CC(C)(CO)c1cc2cc(NC(=O)C3(CC3)c3ccc4OC(F)(F)Oc4c3)c(F)cc2n1C[C@@H](O)CO
